Wedding cake,Birthday cake,Raspberry tart,Apple pie,Gingerbread biscuits,Lemon cake,Lemon tart,Oreos,Wienerbröd,Semla,Cinammon scroll,Apple pullapart,Round pullapart,Brioche,Raspberry slice,NativeLang,OtherLangs,Birthplace,BirthRegion,SwedishResidence,Age,Gender,SubmissionTime
tårta,tårta,paj,paj,Pepparkaka,kaka,kaka,kaka,Eienerbrö,Semla,bulle,bakverk,bakverk,bröd,kaka,Svenska,"Engelska, spanska ",Sverige,Bohuslän,Bohuslän,40-49,Kvinna,Fri May 14 07:37:48 PM 2021
tårta,tårta,tårta,paj,kaka,kaka,paj,kaka,Wienerbröd ,semla,bulle,bakverk,kaka,bulle,paj,Svenska ,Engelska,Sweden,Halland,Bohuslän,40-49,Kvinna,Fri May 14 07:41:10 PM 2021
tårta,tårta,paj,paj,kaka,kaka,paj,kaka,bakverk,bakelse,bulle,bakverk,kaka,bulle,kaka,Svenska,Engelska,Sverige,Bohuslän,Bohuslän,40-49,Kvinna,Fri May 14 07:44:56 PM 2021
tårta,tårta,tårta,paj,kaka,kaka,paj,kaka,bakverk,bakverk,bulle,bakverk,kaka,bulle,kaka,Svenska,Engelska,Sverige,Värmland,Västergötland,30-39,Kvinna,Fri May 14 07:46:16 PM 2021
tårta,tårta,paj,paj,Pepparkaka,kaka,paj,kex,Wienerbröd,Semla,bulle,bakverk,bakverk,Vetelängd,kaka,Svenska,Engelska,Sverige,Västergötland,Västergötland,40-49,Kvinna,Fri May 14 07:49:20 PM 2021
tårta,tårta,kaka,kaka,kex,kaka,kaka,kex,bulle,bulle,bulle,kaka,kaka,bröd,kaka,Tyska,"Engelska, franska, nederländska, danska",Tyskland,Jag kommer inte från Sverige,Bohuslän,50-59,Kvinna,Fri May 14 07:57:12 PM 2021
tårta,tårta,paj,paj,kaka,kaka,paj,kaka,wienerbröd,Semla,bulle,bulle,Sockerkaka,bulle,kaka,Svenska,Engelska,Sverige,Dalarna,Uppland,40-49,Kvinna,Fri May 14 07:58:20 PM 2021
tårta,tårta,paj,paj,kaka,paj,paj,kaka,bulle,bakverk,bulle,bulle,bulle,bulle,kaka,Svenska,Lite engelska,Sverige,Västergötland,Bohuslän,60-69,Kvinna,Fri May 14 08:01:23 PM 2021
tårta,tårta,paj,paj,Pepparkaka,kaka,paj,kex,Wienerbröd,bulle,bulle,kaka,kaka,bulle,kaka,Svenska,Engelska ,Sverige ,Norrbotten,Västergötland,30-39,Kvinna,Fri May 14 08:13:44 PM 2021
tårta,tårta,paj,paj,kaka,bakelse,bakverk,kaka,bulle,bakelse,bakverk,bit,bulle,bulle,bakverk,Svenska,"Engelska, Italienska",Sverige,Västergötland,Västergötland,50-59,Man,Fri May 14 08:21:23 PM 2021
tårta,tårta,paj,paj,kaka,kaka,paj,Småkaka ,bakverk,bulle,bulle,paj,kaka,bakverk,kaka,Svenska,Engelska ,Sverige ,Östergötland,Halland,30-39,Kvinna,Fri May 14 08:28:12 PM 2021
tårta,tårta,kaka,paj,kex,kaka,paj,kex,bakelse,bakelse,bulle,bulle,bakverk,bulle,kaka,Tyska,"Tyska, Svenska, Engelska, Bosniska, Ryska, Spanska, Finska, Franska",Tyskland,Jag kommer inte från Sverige,Jag bor inte i Sverige,20-29,Kvinna,Fri May 14 08:30:38 PM 2021
tårta,tårta,paj,paj,Pepparkakor,Silviakaka,paj,Fyllda kex,Wienerbröd,Semla,bulle,Längd,Krans,Vetelängd,bit,Svenska,"Engelska, franska, spanska",Sverige,Jag kommer inte från Sverige,Västergötland,50-59,Kvinna,Fri May 14 08:44:29 PM 2021
tårta,tårta,paj,paj,Pepparkakor ,kaka,paj,kex,Wienerbröd ,Semla ,Butterkaka om den inte är gräddad ,bakverk,kaka,bröd,ruta,Svenska ,Engelska tyska ,Sverige ,Bohuslän,Bohuslän,40-49,Kvinna,Fri May 14 09:12:41 PM 2021
tårta,tårta,paj,paj,Pepparkaka,bakverk,paj,kaka,bakverk,Semla,bakverk,bakverk,bakverk,bulle,ruta,Svenska,"Engelska, tyska",Sverige,Jag kommer inte från Sverige,Västergötland,60-69,Man,Fri May 14 09:49:11 PM 2021
tårta,tårta,paj,paj,kaka,kaka,kaka,kaka,bakverk,bakverk,bulle,bulle,kaka,bröd,kaka,Svenska ,Engelska ,Sverige,Södermanland,Uppland,40-49,Kvinna,Fri May 14 09:53:00 PM 2021
tårta,tårta,paj,paj,kaka,bit,bit,kaka,bakverk,bakelse,bakelse,bit,bakverk,bröd,ruta,Svenska,Engelska,Sverige,Västergötland,Västergötland,40-49,Kvinna,Fri May 14 10:40:54 PM 2021
tårta,tårta,tårta,paj,Pepparkakor,Sockerkaka,Cheesecake,kaka,Wienerbröd,Semla ,Kanelbulle,Kanelbulle,bulle,bulle,bakverk,Svenska,"Spanska, engelska",Sverige,Bohuslän,Bohuslän,40-49,Kvinna,Sat May 15 06:00:03 AM 2021
tårta,tårta,bakverk,paj,kex,kaka,paj,kex,bulle,bakverk,bulle,bakverk,bakelse,bulle,paj,Bosniska ,Tyska bosniska ,Bosnien,Jag kommer inte från Sverige,Västergötland,30-39,Man,Sat May 15 06:04:16 AM 2021
tårta,tårta,bakverk,paj,kaka,kaka,paj,kex,bulle,bakverk,bulle,bakverk,bakverk,bröd,kaka,Svenska,Engelska ,Sverige,Jag kommer inte från Sverige,Västergötland,40-49,Kvinna,Sat May 15 06:04:34 AM 2021
tårta,tårta,paj,paj,kaka,kaka,paj,kaka,bulle,bakelse,bulle,bulle,kaka,bulle,bakverk,Svenska ,Engelska,Sverige ,Västerbotten,Södermanland,40-49,Kvinna,Sat May 15 06:34:00 AM 2021
tårta,tårta,tårta,paj,kex,bit,paj,kaka,bakverk,bakelse,bulle,bakverk,bakverk,bulle,ruta,Svenska,"Tyska, spanska",Sverige ,Småland,Jag bor inte i Sverige,30-39,Kvinna,Sat May 15 06:49:15 AM 2021
tårta,tårta,paj,paj,kaka,Mjuk kaka,paj,kaka,bakverk,semla,bulle,bakverk,bakverk,bröd,ruta,svenska,"engelska, spanska, tyska",Sverige ,Medelpad,Bohuslän,50-59,Kvinna,Sat May 15 08:10:08 AM 2021
tårta,tårta,tårta,paj,kaka,bakverk,paj,kaka,bulle,bakelse,bulle,bulle,bakverk,bulle,ruta,Svenska ,Engelska ,Sverige ,Västergötland,Halland,50-59,Kvinna,Sat May 15 08:40:16 AM 2021
tårta,tårta,paj,paj,Småkaka ,kaka,paj,Småkaka ,Wienerbröd ,Semla ,bulle,kaka,Mjuk kaka,bakverk,kaka,Svenska ,Engelska franska italienska spanska ,Sverige ,Jag kommer inte från Sverige,Västergötland,40-49,Kvinna,Sat May 15 08:46:36 AM 2021
tårta,tårta,paj,paj,kaka,kaka,paj,kaka,bulle,bakverk,bulle,bakverk,bulle,bröd,ruta,Svenska,,Sverige ,Jag kommer inte från Sverige,Jag bor inte i Sverige,20-29,Kvinna,Sat May 15 09:20:03 AM 2021
