Wedding cake,Birthday cake,Raspberry tart,Apple pie,Gingerbread biscuits,Lemon cake,Lemon tart,Oreos,Wienerbröd,Semla,Cinammon scroll,Apple pullapart,Round pullapart,Brioche,Raspberry slice,NativeLang,OtherLangs,Age,Gender,Birthplace,Residences,SubmissionTime
cake,cake,tart,pie,cookie,cake,pie,cookie,pastry,pastry,roll,tart,cake,bun,pie,Spanish,English,30-39,Female,Costa Rica ,,Fri May 14 07:07:41 PM 2021
cake,cake,tart,pie,cookie,cake,Is it a cheesecake?,cookie,pastry,biscuit,Cinnamon roll,pastry,Coffee cake,bread,cake,English (American),"Some Spanish, French, German",60-69,Female,US,,Fri May 14 07:15:05 PM 2021
cake,cake,tart,pie,biscuit,tart,tart,biscuit,pastry,pastry,roll,pie,cake,bun,pastry,Portuguese,"English, italian, spanish",30-39,Female,Portugal,,Fri May 14 07:20:28 PM 2021
cake,cake,cake,pie,biscuit,cake,slice,cookie,bun,bun,bun,bread,bread,bread,cookie,Bengali ,Hindi,20-29,Female,India,,Fri May 14 07:20:42 PM 2021
cake,cake,tart,pie,biscuit,cake,pie,biscuit,tart,tart,roll,slice,cake,roll,slice,Greek,"English, French, Spanish",40-49,Female,Cyprus ,,Fri May 14 07:21:27 PM 2021
cake,cake,tart,pie,biscuit,cake,tart,biscuit,pastry,bun,roll,pastry,bread,bread,tart,English,None,30-39,Female,United Kingdom,None,Fri May 14 07:27:47 PM 2021
cake,cake,pie,pie,biscuit,slice,tart,cookie,pastry,pastry,roll,tart,tart,bread,pie,Italian,"English, Japanese ",20-29,Female,Italy ,,Fri May 14 07:31:18 PM 2021
cake,cake,tart,pie,cookie,slice,pie,cookie,pastry,pastry,roll,slice,bread,bread,pastry,English (GA),Chinese,30-39,Female,United States of America,China PRC,Fri May 14 07:33:49 PM 2021
cake,cake,tart,tart,cookie,slice,pie,cookie,biscuit,pastry,roll,roll,bread,bun,"Photograph is confusing, could be many",Spanish,"English, Italian",40-49,Male,Mexico,Italy,Fri May 14 07:36:31 PM 2021
cake,cake,tart,pie,biscuit,cake,tart,biscuit,pastry,bun,pastry,pastry,pastry,brioche,slice,English,French and Russian,60-69,Female,UK,France,Fri May 14 07:37:59 PM 2021
